Timestamp,Model,Total Tokens,Cost,Prompt
2024-12-25 12:00:00,gpt-4,150,0.045,"Generate a summary of..."
2024-12-25 12:05:00,gpt-3.5-turbo,120,0.003,"Explain quantum computing..."
2024-12-25 12:10:00,gpt-4,200,0.060,"Analyze the sentiment of this text..."
2024-12-25 12:15:00,gpt-3.5-turbo,80,0.002,"What is the capital of France?"
2024-12-25 12:20:00,gpt-4,300,0.090,"Generate a detailed report on market trends."
2024-12-25 12:25:00,gpt-3.5-turbo,100,0.003,"Summarize this news article."
2024-12-25 12:30:00,gpt-4,250,0.075,"Write a Python script to calculate Fibonacci numbers."
2024-12-25 12:35:00,gpt-3.5-turbo,60,0.002,"Define the laws of thermodynamics."


